age,gender,income,daily_gaming_hours,weekly_sessions,years_gaming,sleep_hours,caffeine_intake,exercise_hours,stress_level,anxiety_score,depression_score,social_interaction_score,relationship_satisfaction,academic_performance,work_productivity,addiction_level,multiplayer_ratio,toxic_exposure,violent_games_ratio,mobile_gaming_ratio,night_gaming_ratio,weekend_gaming_hours,friends_gaming_count,online_friends,streaming_hours,esports_interest,headset_usage,microtransactions_spending,parental_supervision,loneliness_score,aggression_score,happiness_score,bmi,screen_time_total,eye_strain_score,back_pain_score,competitive_rank,internet_quality
51,Female,8615,3.68,22,17,5.26,1.0,0.18,3,4.06,5.02,7.85,9.55,68.8,77.12,2.02,0.39,0.05,0.51,0.23,0.32,1.5,20,186,2.82,1,1,1746.97,0,2.87,3.19,5.2,19.69,4.71,5.71,4.81,80,10
41,Female,39453,5.7,34,16,9.2,0.7,1.44,8,6.76,7.63,7.06,6.96,38.11,44.94,5.85,0.23,0.37,0.43,0.24,0.32,17.93,37,21,1.34,8,1,342.04,7,4.17,7.73,5.4,26.37,6.62,6.77,3.99,57,2
27,Male,40466,1.58,8,22,7.39,2.24,3.15,3,9.57,4.02,1.12,2.61,97.44,54.77,0.08,0.06,0.15,0.48,0.27,0.42,2.99,45,146,3.56,8,1,57.95,9,9.38,2.85,5.17,25.15,9.3,2.16,4.75,59,10
55,Male,51076,6.11,39,24,7.99,1.65,2.8,1,4.97,1.4,6.59,6.0,67.65,88.56,2.77,0.53,0.36,0.64,0.57,0.82,1.99,11,133,1.8,6,1,617.32,5,8.24,7.19,8.62,26.42,13.81,4.72,5.37,89,1
20,Male,86116,3.65,17,0,7.12,1.02,1.01,2,8.73,4.83,6.03,3.54,62.34,68.82,3.37,0.78,0.25,0.29,0.47,0.83,9.23,24,399,1.3,4,0,1398.39,9,6.65,2.53,9.71,25.75,10.74,3.9,6.44,15,10
33,Female,107013,1.97,34,19,7.51,0.09,2.33,4,2.47,4.32,6.28,9.63,80.06,82.63,1.34,0.37,0.52,0.68,0.55,0.93,3.62,19,240,1.01,9,1,876.42,3,5.57,7.82,4.39,16.61,12.66,7.87,4.56,31,4
51,Female,54483,3.15,37,3,6.42,1.13,0.78,6,5.96,0.0,3.08,1.22,73.45,72.2,2.33,0.7,0.33,0.13,0.87,0.4,2.43,26,82,0.8,7,0,119.26,9,3.32,4.31,5.58,29.69,9.57,2.72,1.59,79,4
31,Male,70054,2.61,31,0,8.45,4.8,2.59,10,5.43,3.74,3.19,3.87,89.32,54.98,0.67,0.3,0.16,0.22,0.74,0.45,2.53,40,299,1.27,9,0,1316.03,3,5.96,5.52,5.43,19.54,4.24,6.97,3.7,74,1
35,Other,39958,1.34,15,2,6.14,5.18,0.47,8,3.7,4.0,6.36,4.89,90.92,100.0,2.51,0.72,0.39,0.82,0.29,0.17,6.93,4,378,0.99,3,0,77.7,0,0.91,7.1,5.75,22.52,3.69,3.9,6.47,14,9
23,Female,19047,2.52,1,4,5.11,4.49,0.62,4,5.66,3.37,8.77,5.44,66.69,68.2,1.64,0.71,0.13,0.43,0.22,0.55,13.29,9,303,1.63,7,1,808.5,1,2.92,4.73,3.97,20.66,5.09,4.18,6.3,99,10
23,Male,21601,1.7,38,15,9.18,1.11,3.08,9,4.22,3.46,7.61,7.07,91.52,70.06,0.11,0.84,0.49,0.23,0.64,0.94,8.12,40,203,0.14,5,1,442.32,3,5.49,3.9,3.8,24.2,5.17,4.85,2.55,54,5
36,Male,128499,4.02,33,15,8.77,2.63,0.39,6,4.25,4.99,6.84,2.78,60.42,84.34,4.5,0.48,0.13,0.72,0.39,0.71,10.33,35,368,1.67,7,1,293.84,0,7.62,2.97,7.62,25.24,8.62,4.63,7.16,27,10
48,Female,142055,1.16,8,8,6.92,0.38,0.8,5,6.6,5.39,7.64,5.67,97.99,86.27,0.05,0.85,0.34,0.25,0.57,0.48,5.74,25,400,0.76,9,1,709.16,9,3.01,4.54,5.22,18.09,11.32,4.17,6.14,5,7
52,Male,120251,2.49,8,6,6.51,0.17,0.19,9,6.89,2.0,2.94,7.22,80.69,66.3,2.79,0.74,0.48,0.42,0.94,0.68,0.91,34,153,0.81,8,1,614.31,8,10.0,3.12,3.36,15.53,4.85,3.41,4.5,36,4
36,Male,51636,0.8,31,5,7.91,4.15,2.0,7,3.55,2.44,5.29,5.62,41.96,62.29,0.95,0.3,0.13,0.41,0.39,0.43,2.05,33,106,1.58,10,1,96.99,5,5.06,5.72,5.32,19.95,5.14,6.27,1.17,50,2
15,Female,137088,12.97,13,9,7.45,0.32,0.77,1,5.29,5.49,9.03,7.66,62.33,44.91,7.83,0.11,0.36,0.24,0.15,0.42,3.42,46,275,7.11,6,1,195.81,3,8.2,9.64,5.94,17.84,18.2,1.3,1.77,72,8
34,Male,70847,3.72,32,5,9.41,1.58,0.14,2,3.22,4.96,7.52,6.53,61.88,57.99,4.06,0.13,0.02,0.48,0.44,0.57,7.14,36,395,0.65,1,0,91.41,2,4.75,9.04,6.7,26.46,5.74,4.37,5.07,61,2
14,Female,51846,4.37,8,5,6.38,0.42,0.47,4,7.42,10.0,3.21,5.85,72.21,71.83,2.95,0.33,0.19,0.27,0.67,0.16,0.53,46,450,3.4,10,1,67.78,7,6.24,6.78,2.78,33.6,11.38,4.35,1.85,72,8
36,Female,72587,1.18,5,5,6.27,0.89,3.8,5,5.08,7.17,4.87,3.4,66.92,67.43,0.06,0.59,0.19,0.36,0.73,0.73,2.33,4,222,1.87,0,0,72.61,4,7.44,3.52,3.79,27.2,12.21,7.08,0.0,95,1
56,Male,117567,5.89,26,4,9.55,3.72,1.94,8,6.44,4.13,6.02,6.44,74.68,65.41,6.08,0.67,0.19,0.67,0.27,0.17,8.7,20,386,0.83,0,0,948.35,10,10.0,7.83,7.99,20.85,10.36,5.75,4.12,31,9
42,Female,39602,2.15,17,1,6.41,1.11,6.58,3,5.31,0.28,7.44,7.18,64.77,77.29,2.13,0.29,0.37,0.39,0.75,0.62,13.39,43,242,0.22,5,1,300.36,4,6.77,7.11,2.47,18.07,4.51,4.36,2.48,32,3
50,Male,46441,7.48,36,13,6.98,4.25,1.0,10,3.19,7.88,7.5,6.59,80.21,32.71,5.75,0.51,0.5,0.17,0.54,0.55,4.69,19,437,0.62,3,0,202.18,8,6.08,3.78,6.24,23.06,9.12,0.0,2.42,9,4
14,Male,35076,1.14,34,5,6.63,3.42,0.29,10,5.87,6.21,4.46,8.64,63.14,88.84,2.28,0.56,0.13,0.46,0.15,0.56,9.93,16,330,7.56,8,1,318.62,8,6.13,6.14,8.34,25.09,5.0,4.93,5.13,87,3
33,Female,76076,3.46,26,9,8.22,0.31,4.15,6,6.46,4.12,2.55,5.04,69.93,100.0,4.49,0.87,0.13,0.37,0.86,0.72,2.78,12,282,1.26,9,1,320.35,8,6.73,5.52,7.18,21.58,7.29,4.1,4.57,3,8
45,Male,32392,4.51,24,23,6.88,3.26,0.03,10,3.63,6.27,3.76,4.78,54.98,74.4,4.78,0.66,0.12,0.65,0.68,0.86,2.86,26,285,0.75,6,1,811.78,1,7.7,1.66,6.39,30.94,16.16,1.4,3.26,24,4
24,Other,109840,1.38,27,3,8.98,3.94,2.83,9,3.79,2.84,5.12,7.97,79.72,85.4,0.91,0.54,0.52,0.48,0.7,0.48,8.0,9,379,1.6,9,1,131.9,3,1.43,6.84,5.21,17.97,2.43,5.3,5.33,97,10
34,Female,56327,1.6,34,6,5.17,0.34,1.4,6,2.94,6.14,7.17,5.03,89.26,79.11,1.09,0.35,0.55,0.74,0.8,0.16,6.18,45,44,1.24,2,1,469.81,0,5.7,8.79,4.12,26.55,5.86,4.61,5.56,52,9
56,Male,84454,0.34,20,23,5.67,2.84,1.54,10,6.78,2.54,5.89,3.87,90.96,85.53,0.0,0.68,0.24,0.36,0.44,0.83,1.91,32,23,2.16,9,1,629.85,4,6.66,5.93,5.24,25.19,4.04,3.45,4.19,48,4
37,Male,74036,4.16,36,4,7.76,3.87,1.51,10,2.22,5.11,4.79,9.05,51.84,63.77,2.35,0.21,0.08,0.36,0.54,0.89,7.88,45,296,0.76,0,0,127.18,6,2.37,3.8,4.28,28.58,5.63,3.25,3.53,61,10
39,Female,141414,1.02,38,5,5.28,0.48,1.55,9,2.8,4.46,8.15,4.73,85.27,81.9,0.8,0.58,0.13,0.41,0.25,0.61,2.77,8,383,0.57,7,0,10.53,2,1.25,5.54,3.16,26.44,5.36,1.75,8.5,24,3
54,Male,90916,6.0,31,3,6.93,3.78,0.72,2,4.87,4.01,7.26,4.67,64.17,78.45,4.31,0.65,0.12,0.17,0.5,0.68,7.8,48,482,3.79,3,1,276.57,7,3.14,1.03,7.6,22.41,8.15,5.87,5.16,96,2
40,Male,84918,0.25,22,11,7.71,9.0,0.45,4,3.34,10.0,6.47,4.64,74.29,55.52,0.0,0.61,0.61,0.36,0.67,0.44,2.72,20,286,0.98,10,1,1778.56,9,5.22,5.94,5.24,18.93,10.77,8.46,3.28,25,4
28,Female,78999,0.99,29,13,5.72,0.17,0.88,7,5.03,9.5,5.75,8.8,78.19,53.77,1.96,0.54,0.2,0.37,0.59,0.64,12.79,27,166,2.29,9,1,482.14,1,2.84,5.03,4.89,25.25,1.64,7.78,3.99,11,9
27,Male,33824,2.62,16,14,8.51,0.27,0.1,10,4.75,6.18,7.69,5.38,76.17,80.75,1.72,0.23,0.33,0.36,0.42,0.84,9.55,46,426,2.25,5,0,373.49,3,5.58,4.9,7.3,25.02,6.65,8.36,4.48,34,6
59,Male,52879,6.08,21,8,6.86,1.92,0.49,8,1.28,5.65,5.97,7.88,67.34,85.72,3.13,0.26,0.29,0.28,0.09,0.5,4.28,46,236,4.4,4,1,94.06,4,4.46,6.25,9.29,26.41,9.8,3.85,5.96,16,6
